Drug	Concentration	Strain	ControlConc	Rep	SampleID	OD	BackgroundCorrect	PercentInhib
Miltefosine	0.05	Strain1537	25	Rep1	Plate_09_24hr_A1	0.1019	0.0019	1.09531572855988
Miltefosine	0.1	Strain1537	50	Rep1	Plate_09_24hr_A2	0.1593	0.0593	1.4976041711582
Miltefosine	0	Strain1537	500	Rep1	Plate_09_24hr_A3	0.1052	0.0052	1.11844380975456
Miltefosine	0.25	Strain1537	125	Rep1	Plate_09_24hr_A4	0.1028	0.0028	1.10162338706752
Miltefosine	0.5	Strain1537	250	Rep1	Plate_09_24hr_A5	0.1004	0.000399999999999998	1.08480296438048
Miltefosine	0.75	Strain1537	375	Rep1	Plate_09_24hr_A6	0.0987	-0.00130000000000001	1.0728884983105
Miltefosine	1	Strain1537	500	Rep1	Plate_09_24hr_A7	0.0994	-0.000600000000000003	1.07779445492755
Miltefosine	2	Strain1537	25	Rep1	Plate_09_24hr_A8	0.0945	-0.0055	1.04345275860818
Miltefosine	4	Strain1537	50	Rep1	Plate_09_24hr_A9	0.1008	0.000799999999999995	1.08760636816166
Miltefosine	6	Strain1537	75	Rep1	Plate_09_24hr_A10	0.0973	-0.00270000000000001	1.06307658507639
Miltefosine	8	Strain1537	100	Rep1	Plate_09_24hr_A11	0.098	-0.002	1.06798254169344
Miltefosine	0	Strain1537	1000	Rep1	Plate_09_24hr_A12	0.2427	0.1427	2.08211385953277
Miltefosine	10	Strain1537	125	Rep1	Plate_09_24hr_A13	0.1196	0.0196	1.21936634587679
Miltefosine	12	Strain1537	150	Rep1	Plate_09_24hr_A14	0.1018	0.0018	1.09461487761459
Miltefosine	14	Strain1537	175	Rep1	Plate_09_24hr_A15	0.1048	0.0048	1.11564040597339
Miltefosine	16	Strain1537	200	Rep1	Plate_09_24hr_A16	0.1071	0.0071	1.13175997771513
Miltefosine	18	Strain1537	225	Rep1	Plate_09_24hr_A17	0.1048	0.0048	1.11564040597339
Miltefosine	20	Strain1537	250	Rep1	Plate_09_24hr_A18	0.0993	-0.000700000000000006	1.07709360398226
Miltefosine	23.33	Strain1537	175	Rep1	Plate_09_24hr_A19	0.0989	-0.0011	1.07429020020108
Miltefosine	30	Strain1537	225	Rep1	Plate_09_24hr_A20	0.0989	-0.0011	1.07429020020108
Miltefosine	50	Strain1537	375	Rep1	Plate_09_24hr_A21	0.0961	-0.0039	1.05466637373287
Miltefosine	73.33	Strain1537	550	Rep1	Plate_09_24hr_A22	0.0952	-0.0048	1.04835871522523
Miltefosine	100	Strain1537	750	Rep1	Plate_09_24hr_A23	0.0931	-0.0069	1.03364084537408
Miltefosine	133.3	Strain1537	1000	Rep1	Plate_09_24hr_A24	0.0896	-0.0104	1.00911106228881
Pentamidine	0.05	Strain1537	25	Rep1	Plate_09_24hr_B1	0.3713	0.2713	2.98340817517988
Pentamidine	0.1	Strain1537	50	Rep1	Plate_09_24hr_B2	0.3296	0.2296	2.6911533309926
Pentamidine	0	Strain1537	500	Rep1	Plate_09_24hr_B3	0.3035	0.2035	2.50823123427106
Pentamidine	0.25	Strain1537	125	Rep1	Plate_09_24hr_B4	0.3447	0.2447	2.79698182373188
Pentamidine	0.5	Strain1537	250	Rep1	Plate_09_24hr_B5	0.2879	0.1879	2.39889848680532
Pentamidine	0.75	Strain1537	375	Rep1	Plate_09_24hr_B6	0.271	0.171	2.28045467705076
Pentamidine	1	Strain1537	500	Rep1	Plate_09_24hr_B7	0.2568	0.1568	2.18093384281912
Pentamidine	2	Strain1537	25	Rep1	Plate_09_24hr_B8	0.3075	0.2075	2.53626527208279
Pentamidine	4	Strain1537	50	Rep1	Plate_09_24hr_B9	0.3358	0.2358	2.73460608960078
Pentamidine	6	Strain1537	75	Rep1	Plate_09_24hr_B10	0.317	0.217	2.60284611188565
Pentamidine	8	Strain1537	100	Rep1	Plate_09_24hr_B11	0.3048	0.2048	2.51734229655988
Pentamidine	0	Strain1537	1000	Rep1	Plate_09_24hr_B12	0.3062	0.2062	2.52715420979398
Pentamidine	10	Strain1537	125	Rep1	Plate_09_24hr_B13	0.305	0.205	2.51874399845046
Pentamidine	12	Strain1537	150	Rep1	Plate_09_24hr_B14	0.2881	0.1881	2.4003001886959
Pentamidine	14	Strain1537	175	Rep1	Plate_09_24hr_B15	0.3396	0.2396	2.76123842552193
Pentamidine	16	Strain1537	200	Rep1	Plate_09_24hr_B16	0.3266	0.2266	2.6701278026338
Pentamidine	18	Strain1537	225	Rep1	Plate_09_24hr_B17	0.337	0.237	2.7430163009443
Pentamidine	20	Strain1537	250	Rep1	Plate_09_24hr_B18	0.3514	0.2514	2.84393883706653
Pentamidine	23.33	Strain1537	175	Rep1	Plate_09_24hr_B19	0.193	0.093	1.73379093972203
Pentamidine	30	Strain1537	225	Rep1	Plate_09_24hr_B20	0.1787	0.0787	1.63356925454509
Pentamidine	50	Strain1537	375	Rep1	Plate_09_24hr_B21	0.1483	0.0483	1.42051056717595
Pentamidine	73.33	Strain1537	550	Rep1	Plate_09_24hr_B22	0.1522	0.0522	1.44784375404238
Pentamidine	100	Strain1537	750	Rep1	Plate_09_24hr_B23	0.1375	0.0375	1.34481866508428
