Drug	Concentration	Strain	ControlConc	Rep	SampleID	OD	BackgroundCorrect	PercentInhib
Miltefosine	0.05	Strain1537	25	Rep1	Plate_01_24hr_A1	0.2978	0.1978	2.61653592779452
Miltefosine	0.1	Strain1537	50	Rep1	Plate_01_24hr_A2	0.297	0.197	2.61037182511465
DMSO-1000	0	Strain1537	1000	Rep1	Plate_01_24hr_A3	0.3032	0.2032	2.65814362088361
Miltefosine	0.25	Strain1537	125	Rep1	Plate_01_24hr_A4	0.315	0.215	2.74906413541161
Miltefosine	0.5	Strain1537	250	Rep1	Plate_01_24hr_A5	0.34	0.24	2.94169234415738
Miltefosine	0.75	Strain1537	375	Rep1	Plate_01_24hr_A6	0.3489	0.2489	3.01026798647088
Miltefosine	1	Strain1537	500	Rep1	Plate_01_24hr_A7	0.3642	0.2642	3.12815645022329
Miltefosine	2	Strain1537	25	Rep1	Plate_01_24hr_A8	0.1177	0.0177	1.22884231198998
Miltefosine	4	Strain1537	50	Rep1	Plate_01_24hr_A9	0.1135	0.0135	1.19648077292069
Miltefosine	6	Strain1537	75	Rep1	Plate_01_24hr_A10	0.1104	0.0104	1.17259487503621
Miltefosine	8	Strain1537	100	Rep1	Plate_01_24hr_A11	0.1099	0.00989999999999999	1.1687423108613
DMSO-500	0	Strain1537	500	Rep1	Plate_01_24hr_A12	0.3847	0.2847	3.28611158139482
Miltefosine	10	Strain1537	125	Rep1	Plate_01_24hr_A13	0.1207	0.0207	1.25195769703947
Miltefosine	12	Strain1537	150	Rep1	Plate_01_24hr_A14	0.1123	0.0123	1.18723461890089
Miltefosine	14	Strain1537	175	Rep1	Plate_01_24hr_A15	0.1093	0.00929999999999999	1.1641192338514
Miltefosine	16	Strain1537	200	Rep1	Plate_01_24hr_A16	0.1103	0.0103	1.17182436220123
Miltefosine	18	Strain1537	225	Rep1	Plate_01_24hr_A17	0.114	0.014	1.2003333370956
Miltefosine	20	Strain1537	250	Rep1	Plate_01_24hr_A18	0.1158	0.0158	1.2142025681253
Miltefosine	23.333	Strain1537	175	Rep1	Plate_01_24hr_A19	0.1197	0.0197	1.24425256868964
Miltefosine	30	Strain1537	225	Rep1	Plate_01_24hr_A20	0.1239	0.0239	1.27661410775893
Miltefosine	50	Strain1537	375	Rep1	Plate_01_24hr_A21	0.1103	0.0103	1.17182436220123
Miltefosine	73.333	Strain1537	550	Rep1	Plate_01_24hr_A22	0.1077	0.0077	1.15179102849167
Miltefosine	100	Strain1537	750	Rep1	Plate_01_24hr_A23	0.1056	0.00559999999999999	1.13561025895702
